14 period RSI,MACD,SIGNAL,14 period STOCH %K,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV,VIm,VIp,ema50,ema21,ema15,ema5,normVol,pred
70.73554748942962,0.9756540869111632,0.4243047572293498,86.14754349097598,1482636553.614143,3.862703387379546,5.672661250265605,64.49665489927557,1.1008641590840629,1521838307.9474769,150.38668936571625,0.0014381357982850339,0.9011206042424929,1.1090017421008183,1.0083562246639397,1.0078901434118086,1.0074809452503537,1.005378831379415,1.0736792490613034,1.0
60.75908545227849,0.9541839271855679,0.5333499402558733,74.2202167441636,1397927540.6984434,3.8471953039202975,6.338791385778904,64.61740212005425,0.6545547415825747,1169259095.5063972,89.86262597729774,0.0014152907357872443,0.8988982349661704,1.105132775220249,1.0046064786053939,1.0041107961524105,1.0036845502771359,1.001646511872946,0.9692836156961836,1.0
61.55688342961588,0.9426834333075931,0.6171025806669503,75.84986524266805,1442878713.5490577,3.8511251387558496,8.082498122325546,63.984720243274715,0.6809296445599388,1562762820.5871155,79.25810330233548,0.0011802221407901617,0.9043538611672015,1.0946257007286186,1.004720027244923,1.0041915435687125,1.0037451894593972,1.0017395172399204,1.0665647990423393,1.0
51.008889953823974,0.761464970678503,0.6465047205338549,60.45841910203368,1245660135.7443917,3.9791768224438493,4.785172932059254,56.13560604922915,0.6998996501041508,1143183516.6468852,35.741180884644685,0.0001529742277431094,0.9144070797494067,1.0534124745449018,1.0003263852636215,0.9998372255593254,0.9994368499455174,0.9978341207138359,1.1108404526545266,1.0
38.21022029726817,0.3159042129337877,0.5794177945178183,32.520966542615746,1141827748.7930624,4.37977713289374,-2.472399724712659,48.533238010518374,0.15583067764788602,694555260.2046472,-81.14963634930967,-0.00698520149095898,0.993137695713824,0.9153963921416436,0.9928652885368036,0.9925298621235943,0.9922794012586285,0.9916402089434421,1.150581309358157,1.0
39.33045511903903,-0.010697750079202706,0.4600181008537261,34.43003496343177,1342915628.3565507,4.53640147424347,-3.9853824334492174,47.5515480147227,0.0813806062422226,1098074649.9251046,-110.06468632654367,-0.0075855055976580404,1.0261071563671238,0.9393667237030149,0.9938004732594717,0.9935887073414661,0.9934567409780873,0.9935111453217822,1.028749387910394,1.0
47.20808311771352,-0.10292242608113611,0.34638188638383804,47.82854519046688,1559468120.7676241,4.464411236970948,-1.2518998503420562,54.309485663804665,0.04508332698913103,1446760436.3126607,-44.33979834960656,-0.0005769567748817748,0.9528878039565107,1.06323755579448,0.9980654278575054,0.9978994986854886,0.997810650285456,0.9980552539172723,0.9060965903934908,1.0
46.42655229665984,-0.1926244934453507,0.23777926450941983,46.030995084432845,1398911482.9116256,4.567861557040073,-3.870191854650443,54.46806557450372,-0.31846058205722394,1079416911.0752769,-8.806093768107056,0.0011942893993693142,0.9108026352188938,1.0665499358305317,0.9977009675892894,0.9975843088474601,0.9975404801001331,0.9979699887498319,0.961997234475527,1.0
51.3867473021755,-0.14671834228852276,0.16042311302858522,56.318514034697095,1520007799.9439163,4.582714132092714,-3.447589249662201,54.71608999989106,0.02110290453796816,1453745644.9085891,1.2634073040754994,-0.000597286527099578,0.9575379120015751,1.039221088314716,1.0005288050217231,1.000411197968506,1.0003644670448586,1.0006882540950233,0.9835705998846437,1.0
61.073514369382885,0.17652635881984224,0.16365904343613416,81.99351511130844,1836439043.390739,4.644088519989006,-1.8111921933270878,54.93627997024213,0.3337214948229408,1842856201.7504172,74.2419381401232,-0.0007619139823956876,0.9620428026982912,1.0247416034059151,1.0072609449674246,1.0070291529534692,1.0068735544569236,1.0064927495035854,1.0185578039880772,1.0
64.72838143566085,0.5653756222347965,0.24430703870769147,94.3914059269704,2159809863.368429,4.6511776409555114,1.387573383400877,55.292910487462926,0.4632837292128938,2205569896.6449513,117.35157289158786,0.0006860482503111305,0.9297370971146361,1.0687387467438991,1.0101605719983566,1.0097718320836282,1.009470113328447,1.0082459187242605,0.9576116368907629,1.0
62.619557812275104,0.8144930174887577,0.35868993555721396,90.26219568113414,2109698013.711158,4.535266228685324,2.6956666535738805,55.17269527664857,-0.08010601063968269,1877705103.4319131,111.4345892760186,0.0007653348791606376,0.9352639606346594,1.090293836069105,1.0085716122140278,1.0080629817970939,1.0076541192856816,1.0059009644089036,0.8856177427583226,1.0
57.70003641437547,0.8838849631068797,0.4639835253458177,80.22797682867179,2092701984.152142,4.528127316670115,0.8005023669250022,48.246374572778976,-0.15409417506673093,1525910425.807338,68.28251137899626,-0.002270403373695324,0.9907385999820155,1.010837970532892,1.0055125310628423,1.0049435841842764,1.004486824165255,1.0025988244259054,0.9582591755393468,1.0
63.30644858128771,1.1375372012907974,0.5989553339818218,95.97862176200192,2349938016.644632,4.575310431530421,6.286209169465906,47.825925372724946,0.6833592385854526,1882895562.9759402,100.34009724382354,-0.0020799827530648056,0.9861364368206021,1.00355101377616,1.0100476274345198,1.0093382488043607,1.0087594464775687,1.0063256065185162,0.976919208494479,1.0
66.61059298130809,1.4688870769523419,0.7732113306701583,96.50988076497859,2589021412.0706224,4.551434726654667,12.951198610005349,55.14174784425213,0.9839600573826405,2255334360.984952,142.57292786498115,-0.0006836211486548249,0.9620709745502127,1.043174778999966,1.0129149879687915,1.0120219793068213,1.0112833983424032,1.0081410273830957,1.0159402924200815,1.0
